Model_Type,Fingerprint,Algorithm,AUC,Rank
Deep Learning,Graph Neural Network,DYRK1A GNN,0.8911845730027548,1
Traditional ML,topological,XGBoost,0.8711355984083257,2
Traditional ML,rdkit_fp,KNN,0.870752984389348,3
Traditional ML,morgan_features,GradientBoosting,0.8685338230792775,4
Traditional ML,morgan_features,RandomForest,0.8673094582185491,5
Traditional ML,maccs,GradientBoosting,0.866850321395776,6
Traditional ML,topological,GradientBoosting,0.8663911845730028,7
Traditional ML,rdkit_fp,XGBoost,0.8656259565350476,8
Traditional ML,morgan_features,XGBoost,0.8613406795224977,9
Traditional ML,rdkit_fp,LightGBM,0.8601163146617693,10
Traditional ML,morgan,LightGBM,0.8594276094276094,11
Traditional ML,rdkit_fp,RandomForest,0.8592745638200183,12
Traditional ML,topological,LightGBM,0.8582797673706765,13
Traditional ML,morgan_features,LightGBM,0.8578971533516988,14
Traditional ML,morgan_features,AdaBoost,0.8566727884909703,15
Traditional ML,morgan,RandomForest,0.8559840832568105,16
Traditional ML,topological,RandomForest,0.8550658096112642,17
Traditional ML,rdkit_fp,GradientBoosting,0.8539944903581268,18
Traditional ML,morgan_features,MLP,0.8529231711049893,19
Traditional ML,morgan,MLP,0.8524640342822162,20
Traditional ML,morgan,GradientBoosting,0.8524640342822161,21
Traditional ML,descriptors,XGBoost,0.852157943067034,22
Traditional ML,morgan,XGBoost,0.8518518518518519,23
Traditional ML,maccs,RandomForest,0.8472604836241199,24
Traditional ML,maccs,LightGBM,0.8448117539026629,25
Traditional ML,topological,KNN,0.8413682277318641,26
Traditional ML,morgan,LogisticRegression,0.8396082032445669,27
Traditional ML,maccs,XGBoost,0.8393021120293848,28
Traditional ML,descriptors,GradientBoosting,0.8388429752066117,29
Traditional ML,descriptors,LightGBM,0.8357820630547904,30
Traditional ML,morgan_features,LogisticRegression,0.8339455157636975,31
Traditional ML,morgan_features,KNN,0.8318794000612183,32
Traditional ML,morgan,SVM_linear,0.8287419651056016,33
Traditional ML,morgan,AdaBoost,0.8277471686562596,34
Traditional ML,topological,MLP,0.8264462809917357,35
Traditional ML,rdkit_fp,MLP,0.8256810529537802,36
Traditional ML,morgan,DecisionTree,0.8239975512702784,37
Traditional ML,descriptors,RandomForest,0.8140495867768595,38
Traditional ML,morgan,KNN,0.8138965411692685,39
Traditional ML,topological,AdaBoost,0.8080042852770125,40
Traditional ML,morgan_features,DecisionTree,0.8071625344352616,41
Traditional ML,maccs,DecisionTree,0.8058616467707378,42
Traditional ML,descriptors,MLP,0.8033363942454852,43
Traditional ML,rdkit_fp,LogisticRegression,0.7947658402203857,44
Traditional ML,descriptors,AdaBoost,0.7852770125497398,45
Traditional ML,maccs,KNN,0.7826752372206918,46
Traditional ML,topological,LogisticRegression,0.7797673706764617,47
Traditional ML,descriptors,KNN,0.7773186409550047,48
Traditional ML,maccs,MLP,0.7730333639424549,49
Traditional ML,morgan_features,SVM_linear,0.7692072237526784,50
Traditional ML,rdkit_fp,AdaBoost,0.7685185185185185,51
Traditional ML,descriptors,DecisionTree,0.7646158555249464,52
Traditional ML,rdkit_fp,SVM_linear,0.7618610345883073,53
Traditional ML,topological,SVM_linear,0.7613253749617387,54
Traditional ML,topological,NaiveBayes,0.7613253749617386,55
Traditional ML,maccs,LogisticRegression,0.7465564738292011,56
Traditional ML,maccs,AdaBoost,0.7450260177532905,57
Traditional ML,topological,DecisionTree,0.7437251300887665,58
Traditional ML,rdkit_fp,NaiveBayes,0.7268135904499541,59
Traditional ML,maccs,SVM_linear,0.7240587695133149,60
Traditional ML,descriptors,LogisticRegression,0.7061524334251607,61
Traditional ML,morgan_features,NaiveBayes,0.7046985001530457,62
Traditional ML,morgan,NaiveBayes,0.7046985001530457,63
Traditional ML,descriptors,SVM_linear,0.6818181818181818,64
Traditional ML,rdkit_fp,DecisionTree,0.6396541169268442,65
Traditional ML,descriptors,NaiveBayes,0.5898377716559535,66
Traditional ML,maccs,NaiveBayes,0.48561371288644023,67

